;英语;简体中文;繁体中文;西班牙语;俄语;葡萄牙语;德语;韩语;日语;法语;意大利语;阿拉伯语
歌曲名;Arabesque Op.76 No.9;花纹Op.76 No.9;花紋Op.76 No.9;Arabesque Op.76 No.9;Арабеск Op.76 №9;Arabesque Op.76 No.9;Arabesque Op.76 Nr.9;아라베스크 Op.76 No.9;Arabesque Op.76 No.9;Arabesque Op.76 No.9;Arabesque Op.76 No.9;الأرابيسك أب.76 رقم 9
歌曲名;Hunter's Chorus;猎人合唱;獵人合唱;Hunter's Chorus;Huntsmen's Chorus;Hunter's Chorus;Hunter's Chorus;사냥꾼의 합창;Hunter's Chorus;Hunter's Chorus;Hunter's Chorus;جوقة الصياد
歌曲名;When He cometh;等主回来;等主回來;When He cometh;When He cometh;When He cometh;When He cometh;예수께서 오실 때에;When He cometh;When He cometh;When He cometh;أغنية عيد الفصح No.5
歌曲名;Singing I go;生命路上 ;生命路上;Singing I go;Singing I go;Singing I go;Singing I go;주 안에 있는 나에게;Singing I go;Singing I go;Singing I go;اذهب حيث الغناء
歌曲名;Magic Flute Op.9;魔笛主题变奏曲;魔笛主題變奏曲;Magic Flute Op.9;Волшебная флейта Op.9;Magic Flute Op.9;Magische Flöte Op. 9;마적 주제 변주곡;Magic Flute Op.9;The Blue Danube;Magic Flute Op.9;الناي السحري Op.9
歌曲名;Brandenburg Concerto No.2;勃兰登堡协奏曲 No.2;勃蘭登堡協奏曲 No.2;Brandenburg Concerto No.2;Бранденбургский концерт №2;Brandenburg Concerto No.2;Brandenburg Concerto Nr.2;브란덴부르크협주곡 No.2;Brandenburg Concerto No.2;Brandenburg Concerto No.2;Brandenburg Concerto No.2;براندنبورغ كونشرتو No.2
歌曲名;Sonata in B-flat Major Mvt.1;降B大调奏鸣曲 第一章;降B大調奏鳴曲 第一章;Sonata in B-flat Major Mvt.1;Соната №13, действие 1;Sonata in B-flat Major Mvt.1;Sonata in B-flat Dur 1. Satz;소나타 ♭B장조 1악장;Sonata in B-flat Major Mvt.1;Sonata in B-flat Major Mvt.1;Sonata in B-flat Major Mvt.1;سوناتا في B-شقة الرئيسية Mvt.1
歌曲名;Forest Polka;森林波尔卡;森林波爾卡;Forest Polka;Forest Polka;Forest Polka;Forest Polka;포리스트 폴카;Forest Polka;Forest Polka;Forest Polka;رقصة الغابة
歌曲名;Beyer No.8;拜厄练习曲No.8;拜厄練習曲No.8;Beyer No.8;Байер №8;Beyer No.8;Beyer Nr.8;바이어 연습곡 No.8;Beyer No.8;Beyer No.8;Beyer No.8;باير No.8
歌曲名;Etude Op.10 No.8;练习曲Op.10 No.8;練習曲Op.10 No.8;Etude Op.10 No.8;Этюд Op.10 №8;Etude Op.10 No.8;Etude Op.10 Nr.8;에튀드 Op.10 No.8;Etude Op.10 No.8;Etude Op.10 No.8;Etude Op.10 No.8;أنبوOp.25 No.8
歌曲名;Breeze;清风;清風;Breeze;Бриз;Breeze;Breeze;산들바람;Breeze;Breeze;Breeze;بريز
歌曲名;WTC1 No.3;前奏曲BWV848;前奏曲BWV848;WTC1 No.3;WTC1 №3;WTC1 No.3;WTC1 Nr.3;WTC1 No.3;WTC1 No.3;WTC1 No.3;WTC1 No.3;WTC1 رقم 3
歌曲名;Csikos Post;邮递马车;郵遞馬車;Csikos Post;Почтовая повозка;Csikos Post;Csikós Post;코시코스의 우편마차;Csikos Post;Csikos Post;Csikos Post;سيكوس المشاركة
歌曲名;The Fountain;喷泉;噴泉;The Fountain;Фонтан;The Fountain;Der Brunnen;분수;The Fountain;The Fountain;The Fountain;نافورة
歌曲名;Deck the Halls;装饰大厅;裝飾大廳;Deck the Halls;Украсьте зал;Deck the Halls;Deck the Halls;아릅답게 장식하세;Deck the Halls;Deck the Halls;Deck the Halls;سطح القاعات
歌曲名;Rondo A Major;A大调回旋曲;A大調迴旋曲;Rondo A Major;Рондо ля мажор;Rondo A Major;Rondo A Dur;론도 A 장조;Rondo A Major;Rondo A Major;Rondo A Major;روندو في A الرائد
作者;English Folk Music;英国民谣;英國民謠;folk británico;Британский фолк;popular britânica;britischen Folk;영국의 민속;英国フォーク;folk britannique;popolare britannico;الشعبية البريطانية
作者;James Lord Pierpont;詹姆斯·罗德·皮尔彭特;詹姆斯·羅德·皮爾彭特;James Rhodes Peale Ponte;Джеймс Роудс Пил Понте;James Rhodes Peale Ponte;James Rhodes Peale Ponte;제임스 로즈 필 테;ジェームズロードスピールポンテ;James Rhodes Peale Ponte;James Rhodes Peale Ponte;جيمس رودس بيل بونتي
作者;Johann Pachelbel;帕赫贝尔;帕赫貝爾;Pachelbel;Пахельбель;Pachelbel;Pachelbel;파헬벨;パッヘルベル;Pachelbel;Pachelbel;Pachelbel
作者;JerryC;张逸帆;張逸帆;jerryc;Jerryc;jerryc;JerryC;제리;Jerryc;JerryC;JerryC;Jerryc
作者;American Folk Music;美国民谣;美國民謠;popular de América;Американский фолк;folk americano;amerikanische Volks;미국의 민속;アメリカのフォーク;folk américain;folk americano;الشعبية الأمريكي
作者;French Folk Music;法国民谣;法國民謠;balada francés;Французская баллада;balada Francês;Französisch Ballade;프랑스어 발라드;フランスのバラード;ballade française;ballata francese;أغنية فرنسية
作者;English Folk Music;英国民谣;英國民謠;folk británico;Британский фолк;popular britânica;britischen Folk;영국의 민속;英国フォーク;folk britannique;popolare britannico;الشعبية البريطانية
作者;Chinese Folk Music;中国民谣;中國民謠;popular china;Китайская Народная;Folk chinesa;Chinese Folk;중국 민속;中国の民俗;Folk chinois;Folk cinese;الشعبي الصيني
作者;Narciso Yepes;那西索·叶佩斯;那西索·葉佩斯;Obradores de Cecil Pace;Ye, что Сесил Пейс;Ye que Cecil Pace;Ye, dass Cecil Pace;너희가 세실 페이스;イェそのセシルペース;Ye que Cecil Pace;Voi che Cecil Pace;أيها سيسيل بيس
作者;Rachmaninoff;拉赫玛尼诺夫;拉赫瑪尼諾夫;Rachmaninoff;Рахманинова;Rachmaninoff;Rachmaninoff;라흐마니노프;ラフマニノフ;Rachmaninoff;Rachmaninoff;رحمانينوف
作者;Night Knight;木村弓;木村弓;Kimura Yumi;Кимура Юми;Kimura Yumi;Kimura Yumi;기무라 유미;木村ゆみ;Kimura Yumi;Kimura Yumi;كيمورا يومي
作者;Bandari;班得瑞;班得瑞;Bandari;Бандари;Bandari;Bandari;Bandari;Bandari;Bandari;Bandari;بنداري
作者;John Pond Ordway;约翰·奥德威;約翰·奧德威;John Aode Wei;Джон Aode Вэй;John Aode Wei;John Aode Wei;존 Aode 웨이;ジョンAode魏;John Aode Wei;John Aode Wei;جون Aode وي
作者;Wagner;瓦格纳;瓦格納;Wagner;Вагнер;Wagner;wagner;바그너;ワーグナー;Wagner;Wagner;فاغنر
作者;Chopin;肖邦;肖邦;Chopin;Шопен;Chopin;Chopin;쇼팽;ショパン;Chopin;Chopin;شوبان
作者;Robert Burns;罗伯特·彭斯;羅伯特·彭斯;Robert Burns;Роберт Бернс;Robert Burns;Robert Burns;로버트 번스;ロバート・バーンズ;Robert Burns;Robert Burns;روبرت بيرنز
作者;Schubert;舒伯特;舒伯特;Schubert;Шуберт;Schubert;Schubert;슈베르트;シューベルト;Schubert;Schubert;شوبرت
作者;Chinese Folk Music;中国民谣;中國民謠;popular china;Китайская Народная;Folk chinesa;Chinese Folk;중국 민속;中国の民俗;Folk chinois;Folk cinese;الشعبي الصيني
作者;Saint-Seans;圣·桑;聖·桑;saint Saens;Сен-Санс;saint Saens;saint Saens;세인트 생상;サン=サーンス;Saint Saens;saint Saens;سانت Saens
作者;Sola;加贺谷玲;加賀谷玲;además 贺谷玲;Плюс 贺谷玲;além disso 贺谷玲;Plus-贺谷玲;플러스 贺谷玲;プラス贺谷玲;De plus 贺谷玲;Inoltre 贺谷玲;بالإضافة إلى 贺谷玲
作者;Russian Folk Music;俄罗斯民谣;俄羅斯民謠;Folk Ruso;русский фольк;Folk Russian;Russian Folk;러시아 민속;ロシア民謡;Russian Folk;Folk russo;الشعبية الروسية
作者;American Folk Music;美国民谣;美國民謠;popular de América;Американский фолк;folk americano;amerikanische Volks;미국의 민속;アメリカのフォーク;folk américain;folk americano;الشعبية الأمريكي
作者;Korean Folk Music;韩国民谣;韓國民謠;Folk coreana;Корейская традиционная;Folk-coreano;Korean Folk;한국 민속;韓国民俗;Folk coréen;Folk coreana;الشعبية الكورية
作者;My Girl;邦乔维;邦喬維;Bon Jovi;Bon Jovi;Bon Jovi;Bon Jovi;본 조비;ボン・ジョヴィ;Bon Jovi;Bon Jovi;بون جوفي
作者;Daydream;梦;夢;soñar;сниться;sonhar;Traum;꿈;夢;rêver;sognare;حلم
作者;yuanchuang;原创佳作触及心灵;原創佳作觸及心靈;Los trabajos originales toca el alma;Оригинальные работы затрагивает душу;obras originais toca a alma;Originalwerke berührt die Seele;오리지널 작품은 영혼을 감동;オリジナル作品は、魂に触れます;Les œuvres originales touche l'âme;Opere originali tocca l'anima;المصنفات الأصلية تلامس الروح
作者;Yiruma;石进;石進;Shi Jin;Ши Цзинь;shi Jin;Shi Jin;시 진;市ジン;Shi Jin;Shi Jin;شي جين
作者;FROZEN;克里斯汀·安德森-洛佩兹;克里斯汀·安德森-洛佩茲;Kristen Anderson - López;Кристен Андерсон - Лопес;Kristen Anderson - Lopez;Kristen Anderson - Lopez;크리스틴 앤더슨 - 로페즈;クリステン・アンダーソン - ロペス;Kristen Anderson - Lopez;Kristen Anderson - Lopez;كريستين اندرسون - لوبيز
作者;Congfei Wei;魏琮霏;魏琮霏;Wei Cong Fei;Вэй Конг Фэй;Wei Cong Fei;Wei Cong Fei;웨이 콩 페이;魏コング飛;Wei Cong Fei;Wei Cong Fei;وي كونغ فاي
作者;Russian Folk Music;俄罗斯民谣;俄羅斯民謠;Folk Ruso;русский фольк;Folk Russian;Russian Folk;러시아 민속;ロシア民謡;Russian Folk;Folk russo;الشعبية الروسية
作者;Congfei Wei;魏琮霏;魏琮霏;Wei Cong Fei;Вэй Конг Фэй;Wei Cong Fei;Wei Cong Fei;웨이 콩 페이;魏コング飛;Wei Cong Fei;Wei Cong Fei;وي كونغ فاي
作者;Yuxian Deng;邓雨贤;鄧雨賢;Teng Yu-hsien;Teng Yu-сянь;Teng Yu-hsien;Teng Yu-hsien;탱 유 시엔;トウ雨賢;Teng Yu-hsien;Teng Yu-hsien;تنغ يو هسين
作者;Beethoven;贝多芬;貝多芬;Beethoven;Бетховен;Beethoven;Beethoven;베토벤;ベートーベン;Beethoven;Beethoven;بيتهوفن
作者;Johann Strauss II;小约翰·施特劳斯;小約翰·施特勞斯;Johann Strauss;Иоганн Штраус;Johann Strauss;Johann Strauss;요한 스트라우스;ヨハン・シュトラウス;Johann Strauss;Johann Strauss;يوهان شتراوس
作者;SakoraWu;冯曦妤;馮曦妤;Fiona Fung;Fiona Fung;Fiona Fung;Fiona Fung;피오나 봉;フィオナ・フォン;Fiona Fung;Fiona Fung;فيونا فونغ
作者;Adapted by Congfei Wei;魏琮霏改编;魏琮霏改編;la adaptación Wei Cong Fei;Вэй Цун Фэй адаптации;adaptação Wei Cong Fei;Wei Cong Fei Anpassung;웨이 콩 페이 적응;魏コング飛適応;Wei Cong Fei adaptation;Wei Cong Fei adattamento;وي كونغ فاي التكيف
作者;Mendelssohn;门德尔松;門德爾松;Mendelssohn;Мендельсон;Mendelssohn;Mendelssohn;멘델스존;メンデルスゾーン;Mendelssohn;Mendelssohn;مندلسون
作者;Interlude of Online Drama;《喵星人抢不到》插曲;《喵星人搶不到》插曲;Gente de las estrellas del maullido agarran episodio;Мяу звезда людей захватить эпизод;Estrela Meow pessoas agarrar episódio;Meow Stern Menschen greifen Episode;에피소드를 "야옹 스타 사람들이 잡아";エピソードを「ニャースターの人々がつかみます」;Personnes Meow étoiles saisir épisode;Meow stella persone afferrare episodio;الناس نجم مواء انتزاع حلقة
作者;Clack Chen;陈黑黑;陳黑黑;Chen negro;Чэнь черный;Chen preto;Chen schwarz;첸 블랙;チェンブラック;Chen noir;Chen nero;تشن الأسود
作者;British carol;英国颂歌;英國頌歌;villancicos británicos;Британские колядки;canções de britânicos;Britische Weihnachtslieder;영국 캐롤;イギリスのキャロル;chants britanniques;carols inglesi;التراتيل البريطانية
作者;Bach;巴赫;巴赫;Bach;холостяк;Bach;Bach;바흐;バッハ;Bach;Bach;حياة العزاب
作者;William Cowper;威廉·科伯;威廉·科伯;William Cobb;Уильям Кобб;William Cobb;William Cobb;윌리엄 콥;ウィリアム・コブ;William Cobb;William Cobb;ويليام كوب
作者;Korean Folk Music;韩国民谣;韓國民謠;Folk coreana;Корейская традиционная;Folk-coreano;Korean Folk;한국 민속;韓国民俗;Folk coréen;Folk coreana;الشعبية الكورية
作者;Mozart;莫扎特;莫扎特;Mozart;Моцарт;Mozart;Mozart;모차르트;モーツァルト;Mozart;Mozart;موزارت
作者;Canadian Folk Music;加拿大民谣;加拿大民謠;popular canadiense;Канадский фолк;popular canadense;Canadian Folk;캐나다 민속;カナダのフォーク;folklorique canadienne;popolare canadese;قوم الكندي
作者;Beethoven;贝多芬;貝多芬;Beethoven;Бетховен;Beethoven;Beethoven;베토벤;ベートーベン;Beethoven;Beethoven;بيتهوفن
作者;Franz Gruber;弗朗茨·格鲁伯;弗朗茨·格魯伯;Franz Gruber;Франц Грубер;Franz Gruber;Franz Gruber;프란츠 그루버;フランツ・グルーバー;Franz Gruber;Franz Gruber;فرانز غروبر
作者;Francois Joseph Gossec;弗朗索瓦·约瑟·戈赛克;弗朗索瓦·約瑟·戈賽克;Francois José Ge Saike;Франсуа Джозеф Ge Saike;Francois Joseph Ge Saike;Francois Joseph Ge Saike;프랑소와 조셉 창 Saike;フランソワ・ジョセフのGe Saike;Francois Joseph Ge Saike;Francois Joseph Ge Saike;فرانسوا جوزيف قه SAIKE
作者;Ravel;拉威尔;拉威爾;enmarañar;распутывать;emaranhar;ausfransen;얽힘;ラベル;effilochage;sfilacciarsi;تنسيل
作者;Polish Folk Music;波兰民谣;波蘭民謠;popular polaca;Польский народный;popular polonês;polnischen Volks;폴란드어 민속;ポーランドの民俗;folklorique polonaise;popolare polacca;الشعبية البولندية
作者;Italian Folk Music;意大利民谣;意大利民謠;popular italiana;итальянская народная;popular italiana;italienische Volks;이탈리아어 민속;イタリア民謡;populaire italienne;popolare italiana;الشعبية الإيطالي
作者;Italian Folk Music;意大利民谣;意大利民謠;popular italiana;итальянская народная;popular italiana;italienische Volks;이탈리아어 민속;イタリア民謡;populaire italienne;popolare italiana;الشعبية الإيطالي
作者;Gullit;古利特;古利特;Gullit;Гуллит;Gullit;Gullit;굴리트;Gullit;Gullit;Gullit;خوليت
作者;Chopin;肖邦;肖邦;Chopin;Шопен;Chopin;Chopin;쇼팽;ショパン;Chopin;Chopin;شوبان
作者;Carl Bohm;卡尔·博姆;卡爾·博姆;Karl Bohm;Карл Бем;Karl Bohm;Karl Bohm;카를 뵘;カール・ベーム;Karl Bohm;Karl Böhm;كارل بوم
作者;Er Nie;聂耳;聶耳;Nie Er;Nie Er;Nie Er;Nie Er;니 어;聶耳;Nie Er;Nie Er;نيه ايه
作者;Russian Folk Music;俄罗斯民谣;俄羅斯民謠;Folk Ruso;русский фольк;Folk Russian;Russian Folk;러시아 민속;ロシア民謡;Russian Folk;Folk russo;الشعبية الروسية
作者;Mother Goose;鹅妈妈童谣;鵝媽媽童謠;Mother Goose;Матушки гусыни;Mother Goose;Mother Goose;마더 구스;マザー・グース;Mother Goose;Mother Goose;الأم أوزة
作者;Gexin Chen;陈歌辛;陳歌辛;Chen Gexin;Чэнь Gexin;Chen Gexin;Chen Gexin;첸 Gexin;陳歌辛;Chen Gexin;Chen Gexin;تشن Gexin
作者;Er Nie;聂耳;聶耳;Nie Er;Nie Er;Nie Er;Nie Er;니 어;聶耳;Nie Er;Nie Er;نيه ايه
作者;Kabalevsky;卡巴列夫斯基;卡巴列夫斯基;Kabalevsky;Кабалевский;Kabalevsky;Kabalevsky;Kabalevsky;カバレフスキー;Kabalevsky;Kabalevsky;Kabalevsky
作者;French Folk Music;法国民谣;法國民謠;balada francés;Французская баллада;balada Francês;Französisch Ballade;프랑스어 발라드;フランスのバラード;ballade française;ballata francese;أغنية فرنسية
作者;Zi Huang;黄自;黃自;Huang Zi;Хуан Цзы;Huang Zi;Huang Zi;황 닫아;黄紫;Huang Zi;Huang Zi;هوانغ تسى
作者;Beethoven;贝多芬;貝多芬;Beethoven;Бетховен;Beethoven;Beethoven;베토벤;ベートーベン;Beethoven;Beethoven;بيتهوفن
作者;Shimizu;清水修;清水修;reparación Shimizu;ремонт Shimizu;reparação Shimizu;Shimizu Reparatur;시미즈 수리;清水の修理;Shimizu réparation;riparazione Shimizu;إصلاح شيميزو
作者;August Ludvig Storm;奥古斯·特斯顿;奧古斯·特斯頓;Augusto · Te Sidun;Огастес · Te Sidun;Augustus · Te Sidun;Augustus · Te Sidun;아우구스투스 · 테 Sidun;アウグストゥス・テSidun;Augustus · Te Sidun;Augusto · Te Sidun;أوغسطس · تي Sidun
作者;Shostakovich;肖斯塔科维奇;肖斯塔科維奇;Shostakovich;Шостакович;Shostakovich;Schostakowitsch;쇼스타코 비치;ショスタコービッチ;Shostakovich;Shostakovich;شوستاكوفيتش
作者;Mozart;莫扎特;莫扎特;Mozart;Моцарт;Mozart;Mozart;모차르트;モーツァルト;Mozart;Mozart;موزارت
作者;Bizet;比才;比才;Bizet;Бизе;Bizet;Bizet;비제;ビゼー;Bizet;Bizet;بيزيه
作者;Liliuokalani;里留卡尼拉;裡留卡尼拉;La izquierda en Kani;Слева в Кани La;Deixado em Kani La;Links in Kani La;카니 라에서 왼쪽;可児ラに残さ;Gauche à Kani La;Lasciato a Kani La;غادر في كاني لا
作者;Beethoven;贝多芬;貝多芬;Beethoven;Бетховен;Beethoven;Beethoven;베토벤;ベートーベン;Beethoven;Beethoven;بيتهوفن
作者;Congfei Wei;魏琮霏;魏琮霏;Wei Cong Fei;Вэй Конг Фэй;Wei Cong Fei;Wei Cong Fei;웨이 콩 페이;魏コング飛;Wei Cong Fei;Wei Cong Fei;وي كونغ فاي
作者;American Folk Music;美国民谣;美國民謠;popular de América;Американский фолк;folk americano;amerikanische Volks;미국의 민속;アメリカのフォーク;folk américain;folk americano;الشعبية الأمريكي
作者;Bach;巴赫;巴赫;Bach;холостяк;Bach;Bach;바흐;バッハ;Bach;Bach;حياة العزاب
作者;Chinese Folk Music;中国民谣;中國民謠;popular china;Китайская Народная;Folk chinesa;Chinese Folk;중국 민속;中国の民俗;Folk chinois;Folk cinese;الشعبي الصيني
作者;Dj Okawari;Dj Okawari;Dj Okawari;Dj Okawari;Dj Okawari;dj Okawari;Dj Okawari;DJ Okawari;DJ OKAWARI;Dj Okawari;dj Okawari;دي جي Okawari
作者;Clementi;克莱门蒂;克萊門蒂;Clementi;Клементи;Clementi;Clementi;클레멘티;クレメンティ;Clementi;Clementi;كليمنتي
作者;Beethoven;贝多芬;貝多芬;Beethoven;Бетховен;Beethoven;Beethoven;베토벤;ベートーベン;Beethoven;Beethoven;بيتهوفن
作者;Raphael;拉斐尔;拉斐爾;Raphael;Рафаэль;Raphael;Raphael;라파엘;ラファエル;Raphael;Raphael;رافائيل
作者;Haydn;海顿;海頓;Haydn;Гайдн;Haydn;Haydn;하이든;ハイドン;Haydn;Haydn;هايدن
作者;Bizet;比才;比才;Bizet;Бизе;Bizet;Bizet;비제;ビゼー;Bizet;Bizet;بيزيه
作者;Unknown;佚名;佚名;anónimo;анонимный;anônimo;anonym;익명;匿名の;anonyme;anonimo;مجهول
作者;Ede Poldini;波迪尼;波迪尼;Bo Dini;Бо Дини;Bo Dini;Bo Dini;보 이니;ボーディーニ;Bo Dini;Bo Dini;بو ديني
作者;Polish Folk Music;波兰民谣;波蘭民謠;popular polaca;Польский народный;popular polonês;polnischen Volks;폴란드어 민속;ポーランドの民俗;folklorique polonaise;popolare polacca;الشعبية البولندية
作者;tonghua;童话经典回味无穷;童話經典回味無窮;cuento de hadas clásico memorable;Памятный классическая сказка;conto de fadas clássico memorável;Denkwürdige klassischen Märchen;기억에 남는 고전 동화;思い出に残る古典的なおとぎ話;Mémorable classique de conte de fées;Memorabile fiaba classica;لا تنسى الكلاسيكية خرافة
作者;English Folk Music;英国民谣;英國民謠;folk británico;Британский фолк;popular britânica;britischen Folk;영국의 민속;英国フォーク;folk britannique;popolare britannico;الشعبية البريطانية
作者;English Folk Music;英国民谣;英國民謠;folk británico;Британский фолк;popular britânica;britischen Folk;영국의 민속;英国フォーク;folk britannique;popolare britannico;الشعبية البريطانية
作者;Mozart;莫扎特;莫扎特;Mozart;Моцарт;Mozart;Mozart;모차르트;モーツァルト;Mozart;Mozart;موزارت
作者;Jacques Offenbach;奥芬巴赫;奧芬巴赫;Offenbach;Оффенбах;Offenbach;Offenbach;오펜 바흐;オッフェンバック;Offenbach;Offenbach;أوفنباخ
作者;Franz Liszt;弗朗兹·李斯特;弗朗茲·李斯特;Franz Liszt;Франца Листа;Franz Liszt;Franz Liszt;프란츠리스트;フランツ・リスト;Franz Liszt;Franz Liszt;فرانز ليزت
作者;Chopin;肖邦;肖邦;Chopin;Шопен;Chopin;Chopin;쇼팽;ショパン;Chopin;Chopin;شوبان
作者;Czerny;车尔尼;車爾尼;Czerny;Черни;Czerny;Czerny;체르니;チェルニー;Czerny;Czerny;تشيرني
作者;Bizet;比才;比才;Bizet;Бизе;Bizet;Bizet;비제;ビゼー;Bizet;Bizet;بيزيه
作者;Giuseppe Verdi;威尔第;威爾第;Verdi;Verdi;Verdi;Verdi;베르디;ベルディ;Verdi;Verdi;فيردي
作者;Shostakovich;肖斯塔科维奇;肖斯塔科維奇;Shostakovich;Шостакович;Shostakovich;Schostakowitsch;쇼스타코 비치;ショスタコービッチ;Shostakovich;Shostakovich;شوستاكوفيتش
作者;Mozart;莫扎特;莫扎特;Mozart;Моцарт;Mozart;Mozart;모차르트;モーツァルト;Mozart;Mozart;موزارت
作者;Beethoven;贝多芬;貝多芬;Beethoven;Бетховен;Beethoven;Beethoven;베토벤;ベートーベン;Beethoven;Beethoven;بيتهوفن
作者;Beethoven;贝多芬;貝多芬;Beethoven;Бетховен;Beethoven;Beethoven;베토벤;ベートーベン;Beethoven;Beethoven;بيتهوفن
作者;Tchaikovsky;柴可夫斯基;柴可夫斯基;Tchaikovsky;Чайковский;Tchaikovsky;Tschaikowsky;차이코프스키;チャイコフスキー;Tchaïkovski;Tchaikovsky;تشايكوفسكي
作者;Maksim Mrvica;马克西姆·姆尔维察;馬克西姆·姆爾維察;Maxime Muer Mitrovica;Maxime Muer Митровицкий;Maxime Muer Mitrovica;Maxime Muer Mitrovica;막심 Muer 미트로 비차;マクシムMuerミトロビツァ;Maxime Muer Mitrovica;Maxime Muer Mitrovica;ماكسيم Muer ميتروفيتسا
作者;Long;多年以前;多年以前;hace años;лет тому назад;anos atrás;vor Jahren;몇 년 전;数年前に;Il y a des années;anni fa;منذ سنوات
作者;Boccherini;博凯里尼;博凱里尼;Boccherini;Боккерини;Boccherini;Boccherini;보케리니;ボッケリーニ;Boccherini;Boccherini;Boccherini
作者;Mozart;莫扎特;莫扎特;Mozart;Моцарт;Mozart;Mozart;모차르트;モーツァルト;Mozart;Mozart;موزارت
作者;Mozart;莫扎特;莫扎特;Mozart;Моцарт;Mozart;Mozart;모차르트;モーツァルト;Mozart;Mozart;موزارت
作者;Mozart;莫扎特;莫扎特;Mozart;Моцарт;Mozart;Mozart;모차르트;モーツァルト;Mozart;Mozart;موزارت
作者;Joseph Kuffner;约瑟夫·库夫纳;約瑟夫·庫夫納;Josef Kufner;Josef Куфнер;Josef Kufner;Josef Kufner;요셉 KUFNER;ヨーゼフKufner;Josef Kufner;Josef Kufner;جوزيف Kufner
作者;G. Lange;朗格;朗格;Lange;Lange;Lange;Lange;랭;ランゲ;Lange;Lange;لانج
作者;F. Burgmuller;布格缪勒;布格繆勒;Bouguer Mueller;Бугера Mueller;Bouguer Mueller;Bouguer Mueller;부게 뮬러;ブーゲーミューラー;Bouguer Mueller;Bouguer Mueller;Bouguer مولر
作者;Robert Schumann;舒曼;舒曼;Schumann;Шуман;Schumann;Schumann;슈만;シューマン;Schumann;Schumann;شومان
作者;Diabelli;狄亚贝利;狄亞貝利;Díaz Bailey;Диас Бейли;Diaz Bailey;Diaz Bailey;디아즈 베일리;ディアスベイリー;Diaz Bailey;Diaz Bailey;دياز بيلي
作者;Mozart;莫扎特;莫扎特;Mozart;Моцарт;Mozart;Mozart;모차르트;モーツァルト;Mozart;Mozart;موزارت
作者;Jacques Offenbach;奥芬巴赫;奧芬巴赫;Offenbach;Оффенбах;Offenbach;Offenbach;오펜 바흐;オッフェンバック;Offenbach;Offenbach;أوفنباخ
作者;Cramer;克拉莫;克拉莫;Cramer;Крамер;Cramer;Cramer;크레이머;クラマー;Cramer;Cramer;كريمر
作者;Prohaska;普罗修斯卡;普羅修斯卡;ska General de la reparación;Капитальный ремонт ска;ska Geral de reparação;Allgemeine Reparatur ska;일반 수리 스카;一般的な修理スカ;réparation générale ska;Generale riparazione ska;سكا إصلاح العام
作者;Bach;巴赫;巴赫;Bach;холостяк;Bach;Bach;바흐;バッハ;Bach;Bach;حياة العزاب
作者;Jean Sibelius;西贝柳斯;西貝柳斯;Sibelius;Сибелиус;Sibelius;Sibelius;시벨리우스;シベリウス;Sibelius;Sibelius;سيبيليوس
作者;Weber;韦伯;韋伯;Webber;Уэббер;Webber;Webber;웨버;ウェバー;Webber;Webber;ويبر
作者;George F.Root;鲁特;魯特;routt;Routt;Routt;Routt;Routt;Routt;Routt;Routt;روت
作者;William J.Kirkpatrick;柯克帕特里克;柯克帕特里克;Kirkpatrick;Киркпатрик;Kirkpatrick;Kirkpatrick;커크 패트릭;カークパトリック;Kirkpatrick;Kirkpatrick;كيركباتريك
作者;Mozart;莫扎特;莫扎特;Mozart;Моцарт;Mozart;Mozart;모차르트;モーツァルト;Mozart;Mozart;موزارت
作者;Bach;巴赫;巴赫;Bach;холостяк;Bach;Bach;바흐;バッハ;Bach;Bach;حياة العزاب
作者;Mozart;莫扎特;莫扎特;Mozart;Моцарт;Mozart;Mozart;모차르트;モーツァルト;Mozart;Mozart;موزارت
作者;Karl Hans;卡尔·汉斯;卡爾·漢斯;Karl Hans;Карл Ганс;Karl Hans;Karl Hans;칼 한스;カール・ハンス;Karl Hans;Karl Hans;كارل هانز
作者;Ferdinand Beyer;费迪南德·拜厄;費迪南德·拜厄;Ferdinand Beyer;Фердинанд Бейер;Ferdinand Beyer;Ferdinand Beyer;페르디난트 바이어;フェルディナント・バイエル;Ferdinand Beyer;Ferdinand Beyer;فرديناند باير
作者;Chopin;肖邦;肖邦;Chopin;Шопен;Chopin;Chopin;쇼팽;ショパン;Chopin;Chopin;شوبان
作者;Chinese Folk Music;中国民谣;中國民謠;popular china;Китайская Народная;Folk chinesa;Chinese Folk;중국 민속;中国の民俗;Folk chinois;Folk cinese;الشعبي الصيني
作者;Bach;巴赫;巴赫;Bach;холостяк;Bach;Bach;바흐;バッハ;Bach;Bach;حياة العزاب
作者;Hermann Necke;赫尔曼·奈克;赫爾曼·奈克;Hermann Naik;Герман Найк;Hermann Naik;Hermann Naik;헤르만 Naik는;ヘルマン・ナイク;Hermann Naik;Hermann Naik;هيرمان نايك
作者;Carl Bohm;卡尔·博姆;卡爾·博姆;Karl Bohm;Карл Бем;Karl Bohm;Karl Bohm;카를 뵘;カール・ベーム;Karl Bohm;Karl Böhm;كارل بوم
作者;Ancient Welsh Music;威尔士古曲;威爾士古曲;Música Clásica Welsh;Welsh Классическая музыка;Música Clássica Welsh;Welsh Klassische Musik;웨일스어 클래식 음악;ウェールズのクラシック音楽;Welsh Musique classique;Welsh Musica Classica;الموسيقى الكلاسيكية ويلز
